Kabupaten_Kota,Populasi_Ribu,Laju_Pertumbuhan_Persen,Persentase_Populasi,Kepadatan_Per_Km2,Rasio_Jenis_Kelamin,Tahun
Kota Cilegon,437.2,1.68,3.38,2491.0,104.1,2019
Kota Serang,688.6,1.91,5.33,2582.0,104.9,2019
Kota Tangerang,2229.9,2.35,17.25,14486.0,104.0,2019
Kota Tangerang Selatan,1747.9,3.36,13.52,11875.0,101.3,2019
Lebak,1302.6,0.83,10.08,380.0,104.9,2019
Pandeglang,1211.9,0.54,9.37,441.0,104.2,2019
Serang,1508.4,0.76,11.67,870.0,102.7,2019
Tangerang,3800.8,3.24,29.4,3756.0,104.5,2019
Kota Cilegon,434.9,1.46,3.65,2478.0,103.2,2020
Kota Serang,692.1,1.76,5.81,2595.0,104.7,2020
Kota Tangerang,1895.5,0.51,15.92,12314.0,102.4,2020
Kota Tangerang Selatan,1354.4,0.47,11.38,9201.0,100.3,2020
Lebak,1386.8,1.38,11.65,405.0,106.1,2020
Pandeglang,1272.7,0.99,10.69,463.0,105.5,2020
Serang,1622.6,1.42,13.63,936.0,104.7,2020
Tangerang,3245.6,1.32,27.26,3208.0,104.8,2020
Kota Cilegon,450.5,1.29,3.66,2772.0,102.8,2023
Kota Serang,723.8,1.64,5.88,2723.0,104.3,2023
Kota Tangerang,1950.6,1.05,15.85,10937.0,101.8,2023
Kota Tangerang Selatan,1391.6,0.99,11.31,8441.0,99.8,2023
Lebak,1433.7,1.22,11.65,433.0,105.8,2023
Pandeglang,1312.8,1.13,10.67,474.0,105.1,2023
Serang,1682.1,1.32,13.67,1144.0,104.4,2023
Tangerang,3362.6,1.3,27.32,3272.0,104.3,2023
Kota Cilegon,455.6,1.25,3.67,2804.0,102.7,2024
Kota Serang,734.9,1.61,5.91,2765.0,104.2,2024
Kota Tangerang,1964.0,0.95,15.8,11012.0,101.6,2024
Kota Tangerang Selatan,1399.5,0.88,11.26,8489.0,99.5,2024
Lebak,1449.2,1.18,11.66,438.0,105.7,2024
Pandeglang,1326.0,1.1,10.67,478.0,105.0,2024
Serang,1701.8,1.28,13.69,1158.0,104.2,2024
Tangerang,3400.5,1.25,27.35,3309.0,104.1,2024
Kota Cilegon,460.4,1.21,3.67,2833.0,102.5,2025
Kota Serang,745.6,1.58,5.95,2805.0,104.1,2025
Kota Tangerang,1971.7,0.83,15.73,11055.0,101.4,2025
Kota Tangerang Selatan,1402.2,0.73,11.18,8505.0,99.3,2025
Lebak,1463.8,1.14,11.68,442.0,105.6,2025
Pandeglang,1338.4,1.07,10.67,483.0,104.9,2025
Serang,1720.3,1.24,13.72,1170.0,104.1,2025
Tangerang,3435.2,1.2,27.4,3342.0,104.0,2025
